ViewYN,PoolPrivateYN,CloseDate,ClosePrice,Latitude,Longitude,LivingArea,CountyOrParish,AttachedGarageYN,ParkingTotal,LotSizeAcres,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,ContractStatusChangeDate,PurchaseContractDate,ListingContractDate,FireplaceYN,Stories,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,PostalCode,LotSizeSquareFeet
True,False,2025-02-21,3600000.0,34.030165999999994,-117.855539,6378.0,Los Angeles,True,4.0,0.9423,2024.0,7.0,Walnut,6.0,2025-02-21,2025-02-17,2025-02-16,True,2.0,41048.0,2.0,True,4.0,91789,41048.0
True,False,2025-02-18,1750000.0,33.666173,-117.816628,2419.0,Orange,True,2.0,0.1492,1972.0,3.0,Irvine,5.0,2025-02-18,2025-01-20,2024-12-19,True,1.0,6500.0,5.0,False,2.0,92612,6500.0
False,False,2025-02-10,1825000.0,33.11123793,-117.13331339,4025.0,San Diego,True,5.0,,2020.0,5.0,Escondido,5.0,2025-02-10,2025-02-10,2025-02-10,True,2.0,,,False,2.0,92029,
False,False,2025-02-18,1157610.0,34.16338,-118.52875,2475.0,Los Angeles,True,2.0,0.1433,1950.0,2.0,Tarzana,4.0,2025-02-18,2025-02-18,2025-02-17,False,2.0,6241.0,2.0,False,2.0,91356,6241.0
True,False,2025-02-14,1395000.0,33.469196999999994,-117.635925,2248.0,Orange,True,2.0,0.0687,2000.0,3.0,San Clemente,3.0,2025-02-14,2025-01-13,2025-01-11,True,2.0,2992.0,0.0,False,2.0,92673,2992.0
False,False,2025-02-26,850000.0,34.24334,-118.516361,2820.0,Los Angeles,True,2.0,0.3306,1963.0,3.0,Northridge,4.0,2025-02-26,2025-02-18,2025-02-18,True,2.0,14399.0,1.0,False,2.0,91325,14399.0
True,False,2025-02-19,3400000.0,33.721013,-118.07153999999998,2074.0,Orange,True,10.0,0.1954,1963.0,3.0,Huntington Beach,3.0,2025-02-19,2025-01-29,2025-01-29,True,1.0,8512.0,3.0,False,4.0,92649,8512.0
False,False,2025-02-18,1400000.0,33.683657000000004,-118.004428,1970.0,Orange,True,2.0,0.0499,2002.0,3.0,Huntington Beach,3.0,2025-02-18,2025-02-18,2025-02-13,True,2.0,2175.0,0.0,False,2.0,92648,2175.0
False,True,2025-02-10,2000000.0,33.752894,-117.789643,2529.0,Orange,True,2.0,0.5670000000000001,1957.0,4.0,North Tustin,3.0,2025-02-10,2025-02-01,2025-01-20,True,1.0,24700.0,3.0,False,2.0,92705,24700.0
False,False,2025-02-27,957000.0,34.155765,-118.61786200000002,1820.0,Los Angeles,,2.0,0.2603,1965.0,2.0,Woodland Hills,3.0,2025-02-27,2025-02-18,2025-02-18,True,1.0,11340.0,,,2.0,91364,11340.0
True,True,2025-02-19,2300000.0,34.385179,-118.517253,3756.0,Los Angeles,False,4.0,0.4568,1955.0,6.0,Newhall,6.0,2025-02-19,2025-02-05,2025-02-05,True,1.0,19898.0,4.0,False,4.0,91321,19898.0
False,False,2025-02-24,570000.0,32.74582265,-117.06255148,780.0,San Diego,True,2.0,,1951.0,1.0,San Diego,2.0,2025-02-24,2025-02-17,2025-02-10,False,1.0,,,False,1.0,92115,
True,False,2025-02-26,1549625.0,33.619555,-117.57715,2400.0,Orange,True,4.0,0.1639,1979.0,3.0,Coto de Caza,4.0,2025-02-26,2025-02-10,2025-01-24,True,2.0,7140.0,0.0,False,2.0,92679,7140.0
True,False,2025-02-14,700000.0,34.27832,-118.452466,811.0,Los Angeles,True,1.0,0.1572,1951.0,1.0,San Fernando,2.0,2025-02-14,2025-01-22,2025-01-21,False,1.0,6846.0,2.0,False,1.0,91340,6846.0
True,,2025-02-18,1714530.0,37.59118594,-122.40850657,1880.0,San Mateo,True,1.0,0.1529,1964.0,4.0,Millbrae,5.0,2025-02-18,2025-02-17,2025-02-17,True,1.0,6659.0,,False,1.0,94030,6659.0
False,,2025-02-17,619000.0,36.3242396,-121.23552276,1588.0,Monterey,True,2.0,0.0976,2024.0,3.0,Greenfield,3.0,2025-02-17,2025-02-17,2025-02-17,False,1.0,4253.0,,False,2.0,93927,4253.0
False,,2025-02-20,2400000.0,37.35487,-121.97400897,1446.0,Santa Clara,True,2.0,0.1522,1956.0,2.0,Santa Clara,3.0,2025-02-20,2025-02-17,2025-02-17,True,1.0,6630.0,,False,2.0,95051,6630.0
